"Data","Estrangeiro","Institucional","Pessoa física","Inst. Financeira","Outros"
"25/03/2026","1.034,86 mi","-830,53 mi","-451,57 mi","126,66 mi","120,58 mi"
"24/03/2026","1.231,33 mi","-1.364,28 mi","54,59 mi","35,58 mi","42,78 mi"
"23/03/2026","464,02 mi","266,72 mi","-891,46 mi","29,19 mi","131,52 mi"
"20/03/2026","-1.510,69 mi","3.585,16 mi","-64,27 mi","-2.255,31 mi","245,11 mi"
"19/03/2026","1.665,45 mi","-2.088,65 mi","-12,83 mi","-4,49 mi","440,52 mi"
"18/03/2026","622,66 mi","-850,09 mi","161,28 mi","-117,57 mi","183,72 mi"
"17/03/2026","565,19 mi","-687,55 mi","65,75 mi","-40,86 mi","97,47 mi"
"16/03/2026","551,40 mi","196,21 mi","-308,42 mi","-480,14 mi","40,94 mi"
"13/03/2026","1.172,90 mi","-1.710,77 mi","460,77 mi","-68,65 mi","145,74 mi"
"12/03/2026","155,31 mi","-1.326,91 mi","947,22 mi","83,86 mi","140,52 mi"
"11/03/2026","-576,44 mi","676,38 mi","-100,98 mi","-27,22 mi","28,26 mi"
"10/03/2026","458,79 mi","-5,64 mi","-302,19 mi","-133,36 mi","-17,60 mi"
"09/03/2026","1.468,43 mi","-926,50 mi","-421,56 mi","-128,32 mi","7,94 mi"
"06/03/2026","373,00 mi","-85,09 mi","-119,23 mi","-1.218,12 mi","1.049,44 mi"
"05/03/2026","-606,47 mi","77,57 mi","660,55 mi","-176,42 mi","44,77 mi"
"04/03/2026","692,82 mi","-622,32 mi","38,56 mi","-85,57 mi","-23,50 mi"
"03/03/2026","-390,85 mi","-522,27 mi","904,41 mi","-44,40 mi","53,11 mi"
"02/03/2026","712,76 mi","-228,21 mi","-154,51 mi","-170,35 mi","-159,69 mi"
"27/02/2026","-696,51 mi","578,31 mi","265,88 mi","115,81 mi","-263,49 mi"
"26/02/2026","825,73 mi","-1.540,88 mi","186,47 mi","409,37 mi","119,31 mi"
"25/02/2026","847,86 mi","-1.180,28 mi","269,88 mi","140,19 mi","-77,65 mi"
"24/02/2026","2.132,95 mi","-1.892,31 mi","-348,17 mi","567,41 mi","-459,88 mi"
"23/02/2026","3.016,46 mi","-3.226,95 mi","677,09 mi","-438,48 mi","-28,13 mi"
"20/02/2026","-1.022,25 mi","4.306,48 mi","-2.512,62 mi","-334,74 mi","-436,87 mi"
